一,UM
周,CIRCUNFERÊNCIA
週,SEMANA
士,CAVALHEIRO
吉,BOA SORTE
壮,ROBUSTO
荘,CASA DE VERANEIO
売,VENDER
学,ESTUDAR
覚,LEMBRAR
栄,FLORESCER
書,ESCREVER
津,COVIL
牧,CRUZAR
攻,AGRESSÃO
敗,FALHA
枚,FOLHAS
故,ACASO
敬,ADIMIRAÇÃO
言,DIZER
警,ADMOESTAR
計,ENREDO
詮,ELUCIDAR
獄,PRISÃO
訂,REVISAR
訃,OBITUÁRIO
討,CASTIGAR
訓,INSTRUÇÃO
詔,EDITO IMPERIAL
詰,EMPACOTADO
話,CONTO
詠,RECITAR
詩,POEMA
語,PALAVRA
読,LER
調,CANÇÃO
談,DISCUTIR
諾,CONSENTIR
諭,REFUTAR
式,ESTILO
試,TESTE
弐,II
域,ALCANCE
賊,LADRÃO
栽,PLANTAÇÃO
載,CARGA
茂,COBERTO DE MATO
戚,PARENTES
成,TORNAR-SE
城,CASTELO
誠,SINCERIDADE
威,INTIMIDAR
滅,DESTRUIR
減,DIMINUIR
蔑,INJÚRIA
桟,ANDAIME
銭,MOEDA
浅,RASO
止,PARAR
歩,ANDAR
渉,VAU
頻,REPETIDAMENTE
肯,ACORDO
企,ASSUMIR
歴,CURRÍCULO
武,GUERREIRO
賦,ARRECADAR
正,CORRETO
証,EVIDÊNCIA
政,POLÍTICA
定,DETERMINAR
錠,TRANCAR
走,CORRER
超,TRANSCENDER
赴,PROCEDER
越,ULTRAPASSAR
是,BEM ASSIM
題,TÓPICO
堤,DIQUE
建,CONSTRUIR
鍵,CHAVE
延,PROLONGAR
誕,NATIVIDADE
礎,PEDRA ANGULAR
婿,MARIDO
衣,TRAJE
裁,ALFAIATE
装,ADORNO
裏,FUNDO
壊,DEMOLIÇÃO
哀,PATÉTICO
遠,DISTANTE
猿,MACACO
初,PRIMEIRO
巾,TOALHA
布,LINHO
帆,NAVEGAR
幅,PERGAMINHO
帽,CHAPÉU
幕,CURTINA
幌,TOLDO
錦,BROCADO
市,MERCADO
柿,CAQUI
姉,IRMÃ MAIOR
肺,PULMÕES
帯,CINTA
滞,ESTAGNAR
刺,ESPINHO
制,SISTEMA
製,FEITO EM
転,REVOLVER
芸,TÉCNICA
雨,CHUVA
雲,NUVEM
曇,CLIMA NUBLADO
雷,TROVÃO
霜,GEADA
冬,INVERNO
天,CÉUS
妖,ENCANTAR
沃,IRRIGAR
橋,PONTE
嬌,ATRATIVO
立,FICAR DE PÉ
泣,CHORAR
章,DISTINTIVO
競,COMPETIR
